displayName,id,groupType,membershipType,mail,source,mailEnabled,onPremisesSyncEnabled
administration,89c25750-eef4-49d9-b0d0-1c14fad53f0d,Security,assigned,,Windows Server AD,False,True
AllTeacher,a865d754-719f-4315-9766-0c6f881cd78c,Security,assigned,,Windows Server AD,False,True
auto-shutdown,4fa43b5b-73b3-43c5-a3f1-7c7088d2998b,Security,assigned,,Windows Server AD,False,True
chinese,cb8e75f9-884c-4dad-970c-564d26348efb,Security,assigned,,Windows Server AD,False,True
disable-wifi,e6f03c00-ed2f-4246-a150-3a361c47efc8,Security,assigned,,Windows Server AD,False,True
k0010.經營管理委員會,8b54f40b-9348-4dc5-99ca-df916c2b2be1,Mail enabled security,assigned,K0010@knsh.com.tw,Windows Server AD,True,True
K0020.集團處主管（含直屬部）,7771bfb7-bf42-4367-a6d6-d9ea16dfe5c4,Mail enabled security,assigned,K0020@knsh.com.tw,Windows Server AD,True,True
K0025.集團長,160241fc-b380-49f8-aee1-f0ad01cd2a77,Mail enabled security,assigned,K0025@knsh.com.tw,Windows Server AD,True,True
K0030.集團主管,0dfd8e10-a466-42fe-91b5-ed48af3336e8,Mail enabled security,assigned,K0030@knsh.com.tw,Windows Server AD,True,True
K0031.集團主管(含內地主管),e676a104-39cd-4936-a663-9e2f6233e097,Mail enabled security,assigned,K0031@knsh.com.tw,Windows Server AD,True,True
K0050.集團基層主管,f01f4e91-c7b3-40a6-9edc-1b275cf641a8,Mail enabled security,assigned,K0050@knsh.com.tw,Windows Server AD,True,True
K0051.集團基層主管(含內地主管),2bd2c4f6-3f5c-4b7e-9145-05318bee7470,Mail enabled security,assigned,K0051@knsh.com.tw,Windows Server AD,True,True
K10010.康軒經管會議,47ed64a0-7b6f-4315-a82a-dd8eec57fc38,Mail enabled security,assigned,K10010@knsh.com.tw,Windows Server AD,True,True
K10015.康軒主管會議,344b312e-91c6-4f8d-9116-589795975839,Mail enabled security,assigned,K10015@knsh.com.tw,Windows Server AD,True,True
K10020.康軒基層主管,354b34f6-00e6-4f23-93f0-d02976e19d8e,Mail enabled security,assigned,K10020@knsh.com.tw,Windows Server AD,True,True
K10025.康軒部級以上主管,0b0ebd6e-8cd8-4cd5-ba71-9d27c3825077,Mail enabled security,assigned,K10025@knsh.com.tw,Windows Server AD,True,True
K10030.康軒文教成員,8027dd5d-3015-4166-a2de-622bf278840c,Mail enabled security,assigned,K10030@knsh.com.tw,Windows Server AD,True,True
K10080.康軒成員,56ff092e-502d-48de-897c-8350ba89d526,Mail enabled security,assigned,K10080@knsh.com.tw,Windows Server AD,True,True
K1EWC.康軒職委會,74353cfc-616a-47c7-8553-b5150c0774a7,Mail enabled security,assigned,K1EWC@knsh.com.tw,Windows Server AD,True,True
K1EWC01.康軒職委會福利金保管人,70221708-64e2-4315-9b3f-7cb937a743c5,Mail enabled security,assigned,K1EWC01@knsh.com.tw,Windows Server AD,True,True
K1EWC02.康軒職委會運動社團社長,30082e83-f593-4bdf-8c96-1c5ddc563e5d,Mail enabled security,assigned,K1EWC02@knsh.com.tw,Windows Server AD,True,True
K1LCY.康軒成員(雲嘉分公司),97d3062f-9fbf-4e3d-bc2e-63ddfa0bde5a,Mail enabled security,assigned,K1LCY@knsh.com.tw,Windows Server AD,True,True
K1LKS.康軒成員(高雄分公司),d29a241b-7f08-4374-84bc-62b18a7c20d5,Mail enabled security,assigned,K1LKS@knsh.com.tw,Windows Server AD,True,True
K1LNJ.康軒外派成員(南京),bb359c0d-1f35-45b4-bed4-07c94ff3d6a5,Mail enabled security,assigned,K1LNJ@knsh.com.tw,Windows Server AD,True,True
K1LTC.康軒成員(台中分公司),a158ae4f-48be-4e9a-92c0-a86dde42f587,Mail enabled security,assigned,K1LTC@knsh.com.tw,Windows Server AD,True,True
K1LTH.康軒外派成員(泰國),9bd98c83-7b76-4baf-845f-0fd02cb42b81,Mail enabled security,assigned,K1LTH@knsh.com.tw,Windows Server AD,True,True
K1LTN.康軒成員(台南分公司),5bfa166e-f0b2-46c7-ae2e-aa6b053b292f,Mail enabled security,assigned,K1LTN@knsh.com.tw,Windows Server AD,True,True
K1LTP.康軒成員(台北總公司),30d35500-5e34-41ba-95d7-c07b3238be3f,Mail enabled security,assigned,K1LTP@knsh.com.tw,Windows Server AD,True,True
K1LTY.康軒成員(桃園分公司),c604733b-b4e8-4e9f-805d-ea85bb33915d,Mail enabled security,assigned,K1LTY@knsh.com.tw,Windows Server AD,True,True
KCCS7013.常熟,8ac3cef2-8476-4b25-bff9-7638e4bc5e55,Distribution,assigned,KCCS7013@kciscs.org.cn,Windows Server AD,True,True
KCCS701301.常熟校区校长办公室,3636b685-3134-4fe6-8caa-53e1dcd05f82,Distribution,assigned,KCCS701301@kciscs.org.cn,Windows Server AD,True,True
KCCS701303.常熟会计组,4a91b74c-9a56-4d60-a507-e0efe893666f,Distribution,assigned,KCCS701303@kciscs.org.cn,Windows Server AD,True,True
KCCS701305.常熟中籍人事组,4b17f442-af96-4536-a725-4287a6ff46a6,Distribution,assigned,KCCS701305@kciscs.org.cn,Windows Server AD,True,True
KCCS701307.常熟招生处,4a7210c8-5a37-4c50-9cd7-7fed250d58c8,Distribution,assigned,KCCS701307@kciscs.org.cn,Windows Server AD,True,True
KCCS70130701.常熟招生处招生一组,be034064-8fd3-4ea0-b144-617a7315089f,Distribution,assigned,KCCS70130701@kciscs.org.cn,Windows Server AD,True,True
KCCS70130702.常熟招生处招生二组,9b8b1fe3-cb20-4187-a50b-0f4dd120e53a,Distribution,assigned,KCCS70130702@kciscs.org.cn,Windows Server AD,True,True
KCCS70130703.常熟招生处企划组,7140b94c-4719-4ba8-84d6-489108ce5765,Distribution,assigned,KCCS70130703@kciscs.org.cn,Windows Server AD,True,True
KCCS701310.常熟总务处,0d36283a-3d74-4938-b7e6-c911560ffd8b,Mail enabled security,assigned,KCCS701310@kciscs.org.cn,Windows Server AD,True,True
KCCS70131001.常熟总务处行政组,c670a9f9-a8c0-4d17-85fb-f3c9bf931688,Mail enabled security,assigned,KCCS70131001@kciscs.org.cn,Windows Server AD,True,True
KCCS70131002.常熟总务处事务组,d746f9ec-966d-4f53-9366-71e1388bd9d8,Mail enabled security,assigned,KCCS70131002@kciscs.org.cn,Windows Server AD,True,True
KCCS70131005.常熟总务处采购组,59ea5434-ce4b-4113-8bed-af9c11aa9494,Mail enabled security,assigned,KCCS70131005@kciscs.org.cn,Windows Server AD,True,True
KCCS701312.常熟初中教务处,0255bdcc-421c-4918-bf66-e6de1afc3c33,Mail enabled security,assigned,KCCS701312@kciscs.org.cn,Windows Server AD,True,True
KCCS70131201.常熟初中教务处教学组,3dbda637-85d3-41dc-aa8a-c11cadf1ad09,Mail enabled security,assigned,KCCS70131201@kciscs.org.cn,Windows Server AD,True,True
KCCS70131202.常熟初中教务处教务组,482cb4fe-8b28-4a5f-949d-9f1b1192c9a9,Mail enabled security,assigned,KCCS70131202@kciscs.org.cn,Windows Server AD,True,True
KCCS701314.常熟高中教务处,0eaeeb3e-71f4-4640-82da-a7452882fbbf,Mail enabled security,assigned,KCCS701314@kciscs.org.cn,Windows Server AD,True,True
KCCS70131401.常熟高中教务处教学组,d822f368-b94a-4294-a859-fe3fb8465349,Mail enabled security,assigned,KCCS70131401@kciscs.org.cn,Windows Server AD,True,True
KCCS70131402.常熟高中教务处教务组,da5efea5-2305-4e9a-ac3f-069fdb4dcf49,Mail enabled security,assigned,KCCS70131402@kciscs.org.cn,Windows Server AD,True,True
KCCS701315.常熟幼小部,47321dc9-cdf7-46ed-81e9-71c662a2d9aa,Mail enabled security,assigned,KCCS701315@kciscs.org.cn,Windows Server AD,True,True
KCCS70131501.常熟幼小部小学教务处,c535df87-d230-4ce4-ab3d-1d76cae18b43,Mail enabled security,assigned,KCCS70131501@kciscs.org.cn,Windows Server AD,True,True
KCCS7013150101.常熟幼小部小学教务处教学组,6bf53e49-d38e-4c75-ab6f-febc57286eac,Mail enabled security,assigned,KCCS7013150101@kciscs.org.cn,Windows Server AD,True,True
KCCS7013150102.常熟幼小部小学教务处课研组,7249e463-c9f9-4c9c-8432-f8ef4a168e20,Mail enabled security,assigned,KCCS7013150102@kciscs.org.cn,Windows Server AD,True,True
KCCS7013150103.常熟幼小部小学教务处教务组,faefd731-9d41-4bf8-8a46-bc6f9c9d17f8,Mail enabled security,assigned,KCCS7013150103@kciscs.org.cn,Windows Server AD,True,True
KCCS7013150105.常熟幼小部小学教务处图书组,cb5b9e3d-b62e-4a6f-824b-eb4c3c5861c0,Mail enabled security,assigned,KCCS7013150105@kciscs.org.cn,Windows Server AD,True,True
KCCS70131502.常熟幼小部小学英语学习中心,99b7c306-5719-4cab-a5f9-13743a42b573,Mail enabled security,assigned,KCCS70131502@kciscs.org.cn,Windows Server AD,True,True
KCCS7013150201.常熟幼小部小学英语学习中心国际课程教学组,43476a5b-670c-49ab-adce-3cfaa7bcd23a,Mail enabled security,assigned,KCCS7013150201@kciscs.org.cn,Windows Server AD,True,True
KCCS7013150202.常熟幼小部小学英语学习中心小学课程教学组,d928e32e-2f0f-4d5d-962c-5f0e09b8a7b3,Mail enabled security,assigned,KCCS7013150202@kciscs.org.cn,Windows Server AD,True,True
KCCS70131504.常熟幼小部幼儿园,f3ef6130-e0f1-426e-b9bd-838aa8f8d05c,Mail enabled security,assigned,KCCS70131504@kciscs.org.cn,Windows Server AD,True,True
KCCS7013150402.常熟幼小部幼儿园保育教学组,f4014d4f-ed4a-41d3-ac91-570537da34fb,Mail enabled security,assigned,KCCS7013150402@kciscs.org.cn,Windows Server AD,True,True
KCCS701320.常熟德育处,120fe57d-5c13-4104-9c81-b3ba6a533433,Mail enabled security,assigned,KCCS701320@kciscs.org.cn,Windows Server AD,True,True
KCCS70132001.常熟德育处探索活动组,87056060-5069-433f-8e5b-34f12a8c6d9d,Mail enabled security,assigned,KCCS70132001@kciscs.org.cn,Windows Server AD,True,True
KCCS70132002.常熟德育处保健组,6db4a63b-7db8-4804-bccc-86f347a50120,Mail enabled security,assigned,KCCS70132002@kciscs.org.cn,Windows Server AD,True,True
KCCS70132003.常熟德育处辅导组,38964719-d22c-4560-975b-a56178c9bf3a,Mail enabled security,assigned,KCCS70132003@kciscs.org.cn,Windows Server AD,True,True
KCCS70132004.常熟德育处小学德育生辅组,a0074f32-6bf6-4820-bdec-57795f5ea809,Mail enabled security,assigned,KCCS70132004@kciscs.org.cn,Windows Server AD,True,True
